source,target,distance,source_StarClass,source_Sub_Class,source_quadrant,source_gravitational_force,source_rarity_score,target_StarClass,target_Sub_Class,target_quadrant,target_gravitational_force,target_rarity_score
AAAAAAABJSIAAAAAAAEk1Q,AAAAAAABJR0AAAAAAAEk2w,11,F,dwarf,4,125116.89297864816,1.0,M,dwarf,4,11512.078695911645,1.0
AAAAAAABJSIAAAAAAAEk1Q,AAAAAAABJT0AAAAAAAEkxA,44,F,dwarf,4,125116.89297864816,1.0,K,dwarf,4,18604.20906469087,1.0
AAAAAAABJSIAAAAAAAEk1Q,AAAAAAABJUEAAAAAAAEkwQ,51,F,dwarf,4,125116.89297864816,1.0,G,dwarf,4,24845.679602710014,1.0
AAAAAAABJSIAAAAAAAEk1Q,AAAAAAABJS4AAAAAAAEk0Q,16,F,dwarf,4,125116.89297864816,1.0,G,dwarf,4,51005.92868553754,1.0
AAAAAAABJSIAAAAAAAEk1Q,AAAAAAABJTQAAAAAAAEkzQ,26,F,dwarf,4,125116.89297864816,1.0,G,dwarf,4,42214.145258933,1.0
AAAAAAABJSIAAAAAAAEk1Q,AAAAAAABJTUAAAAAAAEk0Q,23,F,dwarf,4,125116.89297864816,1.0,K,dwarf,4,33318.680607030416,1.0
AAAAAAABJRMAAAAAAAEk4w,AAAAAAABJRMAAAAAAAEk5A,1,G,dwarf,4,111290.109804074,0.5,G,dwarf,4,120665.33896910008,0.5
AAAAAAABJRMAAAAAAAEk4w,AAAAAAABJREAAAAAAAEk6A,7,G,dwarf,4,111290.109804074,0.5,K,dwarf,4,192105.97988925825,1.0
AAAAAAABJRMAAAAAAAEk4w,AAAAAAABJRwAAAAAAAEk4A,12,G,dwarf,4,111290.109804074,0.5,K,dwarf,4,86190.59043689689,1.0
AAAAAAABJRMAAAAAAAEk5A,AAAAAAABJREAAAAAAAEk6A,6,G,dwarf,4,120665.33896910008,0.5,K,dwarf,4,192105.97988925825,1.0
AAAAAAABJRMAAAAAAAEk5A,AAAAAAABJRQAAAAAAAEk5w,4,G,dwarf,4,120665.33896910008,0.5,M,dwarf,4,36132.93328264471,1.0
AAAAAAABJV0AAAAAAAEkrw,AAAAAAABJWgAAAAAAAEkrg,12,K,dwarf,4,14450.476500892426,1.0,G,dwarf,4,9632.695685728451,1.0
AAAAAAABJV0AAAAAAAEkrw,AAAAAAABJVcAAAAAAAEkvA,19,K,dwarf,4,14450.476500892426,1.0,M,dwarf,4,2823.781723267882,1.0
AAAAAAABJQwAAAAAAAEk6w,AAAAAAABJREAAAAAAAEk6A,8,M,dwarf,4,55205.31377053183,1.0,K,dwarf,4,192105.97988925825,1.0
