source_id,ra,dec,parallax,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,l,b,ecl_lon,ecl_lat,teff_gspphot,radius_gspphot,Computed_Distance_Parsec,x_Coord,y_Coord,z_Coord,base64_Cube,flat_x,flat_y,base64_2D,quadrant,abs_g_mag,B_V,mass,gravitational_force,StarClass,Sub_Class,Sys_Icons,Remaining_Mass_Earth,planet_types,age_gyr,game_x,game_y,game_z,estimate_lum,Clothing,Electronics,Equipment,Food,Heavy Metals,Luxury Goods,Industrial,Medical,Metal,Plastic,binary_candidate,counter,Name_two,2D_sector,3D_sector,simbad_names,grid_x,grid_y,class_combo,rarity_score
6341071024116923392,0.0281655011656402,-89.85699161099572,0.8462159280166782,18.468872,19.508224,17.452581,2.055643,1.0393524,1.0162907,,302.9676499367185,-27.26768267853092,270.3595160098747,-66.56037785751606,3799.133,0.8574,1181.7314788008705,2.9495596458303512,0.0014499468030728,-1181.7277977963813,EhQEhMERc,2.9495596458303512,-11.815828031160741,AAAAAAABJQEAAAAAAAEk0g,4,8.10627804851417,1.2353353400738245,1.989e+29,7160.813968291279,K,dwarf,star/k2,46.692965597248985,Rocky,9.620086694335937,0.0029495596458303,-0.0118158280311607,-1.1817277977963814,0.0341577126392841,253.3897556378361,604.0140930115214,363.78463360628535,102.96474816530385,804.9297155467899,902.4887739509296,651.0539608612402,502.2309875752212,204.5366386634393,304.085577030467,False,0,S40000-0000,S400,S4800,S40000-0000,75009,74962,K/dwarf,1.0
4611708008660299264,0.2779638248118005,-89.71659593238638,1.2855724542192457,17.507706,18.50154,16.532976,1.9685631,0.99383354,0.97472954,,303.0014568841523,-27.404831574405826,270.71246987402293,-66.56047748271396,4000.4795,0.5682,777.8635865431017,3.84751221106518,0.0186659054066749,-777.8540708713089,EhQEhMESw,3.84751221106518,-7.759874803306413,AAAAAAABJQQAAAAAAAEk3w,4,8.053188479916564,1.184996446784843,9.945000000000001e+29,82634.82675236474,K,dwarf,star/k2,233.46482798622725,Rocky,9.59995205078125,0.0038475122110651,-0.0077598748033064,-0.7778540708713089,0.0393300599171258,250.6128343925779,600.2076835942065,361.7178656629628,103.3021491345134,804.9960505773087,904.1741560932456,651.9803910147391,500.4057975271887,202.2102662610728,304.9994016080127,False,1,S40000-0001,S400,S4800,S40000-0001,75012,74975,K/dwarf,1.0
4611709181188492928,0.344145043884149,-89.65769601609382,0.8222923699537003,15.962487,16.491627,15.286262,1.2053652,0.5291395,0.67622566,,303.01551745721014,-27.46239540245029,270.8605436788644,-66.56041681557615,4887.0454,1.278,1216.1124638141853,7.265284795812577,0.043639197249667,-1216.090760748006,EhQEhMERU,7.265284795812577,-12.117268410230395,AAAAAAABJQ8AAAAAAAEk0Q,4,5.5376185230731085,0.7324534785174234,9.945000000000001e+29,33808.237084203654,K,dwarf,star/k2,233.46482798622725,Rocky,9.511295458984376,0.0072652847958125,-0.0121172684102303,-1.216090760748006,0.3989813456711298,251.74859899509755,603.2961930958483,363.1544034461021,104.7797004763854,802.7685748459963,903.7530098741106,654.3146328625305,500.38791357966426,200.56903013093432,301.2668164292758,True,2,S40000-0002,S400,S4800,S40000-0002,75023,74961,K/dwarf,1.0
4611709387346922880,0.3648349595696604,-89.64836327733326,0.6999401747378959,16.996668,17.514515,16.347021,1.1674938,0.51784706,0.64964676,,303.0176640705403,-27.47153258215086,270.88400739725813,-66.56046949126346,4913.182,0.5634,1428.6935313785443,8.767971689088373,0.0558314392131282,-1428.666625269242,EhQEhMEQs,8.767971689088373,-14.230834813479293,AAAAAAABJRQAAAAAAAEkyg,4,6.221972469927364,0.7094665105402939,9.945000000000001e+29,24495.812410605817,K,dwarf,star/k2,233.46482798622725,Rocky,9.508681787109374,0.0087679716890883,-0.0142308348134792,-1.4286666252692422,0.2124276340141234,250.5557813136224,601.7757642288507,362.9328859461528,101.96741031740424,804.2349399920582,900.7317506695352,653.5560232567759,504.8457453747407,201.1420814382549,304.88991831895254,False,3,S40000-0003,S400,S4800,S40000-0003,75028,74954,K/dwarf,1.0
4611709456066399232,0.4165480507694285,-89.63414462878772,0.2387775440631063,18.490738,19.021616,17.796618,1.2249985,0.53087807,0.6941204,,303.0207790001719,-27.48548384538964,270.9197576326562,-66.5606848855045,4465.4297,0.4539,4187.9985152025465,26.74107692844529,0.1944146640108789,-4187.913136676354,EhUEhMDj4,26.74107692844529,-41.68471670275266,AAAAAAABJU8AAAAAAAEkcQ,4,5.380705319870671,0.7443506383895465,9.945000000000001e+29,2850.7357774404345,K,dwarf,star/k2,233.46482798622725,Rocky,9.55345703125,0.0267410769284452,-0.0416847167027526,-4.187913136676354,0.4610179890925916,253.5563366602371,604.0883790567461,364.4545118747701,100.61220482713556,803.614250167772,901.339308251438,650.4946577414597,502.1748469342037,201.87897128918,304.7619952709826,False,4,S40000-0004,S400,S4400,S40000-0004,75087,74865,K/dwarf,1.0
4611756455891542272,0.7705357205574529,-89.60914165045459,0.2900502391942475,18.613949,19.168283,17.907265,1.2610188,0.55433464,0.7066841,,303.02421263269565,-27.51041035161432,270.98264471294715,-66.56290060096838,4466.989,0.4344,3447.6785910536582,23.51694431432893,0.3162839967146673,-3447.598369953248,EhUEhMDyQ,23.51694431432893,-34.15969970281781,AAAAAAABJUQAAAAAAAEkiQ,4,5.926314961777351,0.7661427161819712,9.945000000000001e+29,4206.457062832011,K,dwarf,star/k2,233.46482798622725,Rocky,9.553301123046875,0.0235169443143289,-0.0341596997028178,-3.447598369953248,0.2789163770078299,254.0552270254148,603.118211260547,365.4511706989513,100.721990670835,804.2822356486884,900.9101269161276,654.6111176501241,504.4664735159676,204.753589974836,300.3829323045,False,5,S40000-0005,S400,S4400,S40000-0005,75076,74889,K/dwarf,1.0
4611756666346916608,0.3358738252259066,-89.60487787563473,1.2014889639723023,16.238325,16.844652,15.491733,1.3529196,0.60632706,0.7465925,,303.02852448145194,-27.513937804791933,270.99331752402054,-66.55989306696483,4657.589,0.7584,832.3006119788653,5.739552400450164,0.0336462391923214,-832.2808210613571,EhQEhMESk,5.739552400450164,-8.28916197142125,AAAAAAABJQoAAAAAAAEk3Q,4,6.6369240492002834,0.8215364974356066,9.945000000000001e+29,72178.78652736181,K,dwarf,star/k2,233.46482798622725,Rocky,9.53424111328125,0.0057395524004501,-0.0082891619714212,-0.832280821061357,0.1449540587847803,252.3151298673481,602.5867387761341,365.0183610825016,103.25159493010408,801.8545410649508,901.0610001239608,654.2007125685307,504.06607519566535,204.4798158545452,303.0350465997232,False,6,S40000-0006,S400,S4800,S40000-0006,75018,74973,K/dwarf,1.0
4611756730769465216,0.1701355396655648,-89.59798752658594,0.2177641226207119,18.031088,18.48174,17.450317,1.0314236,0.45065308,0.5807705,,303.0314945253279,-27.52040833880324,271.0106037686713,-66.55866010542444,4973.5337,0.5315,4592.124671251463,32.219966755890674,0.0956750670023026,-4592.011635536749,EhUEhMDik,32.219966755890674,-45.824441288365186,AAAAAAABJWEAAAAAAAEkYw,4,4.721019524473267,0.6264610792013965,1.4917500000000002e+30,3556.5909825576346,K,dwarf,star/k2,350.1972419793291,Rocky,9.502646630859376,0.0322199667558906,-0.0458244412883651,-4.592011635536749,0.8464322268202799,254.87489599626937,603.9499677909536,364.8093675533056,101.47164564468495,802.3663137547486,902.4867032997864,651.6958713719132,500.5893053958524,200.1524280827065,303.0298493841999,False,7,S40000-0007,S400,S4400,S40000-0007,75105,74851,K/dwarf,1.0
4611756730769479296,0.6668952176235976,-89.5874961002854,0.0787592087281402,18.718348,19.15549,18.20102,0.9544716,0.43714333,0.51732826,,303.030164907862,-27.53141493208589,271.03705790164537,-66.56209551994284,5175.196,0.5143,12696.927967519116,91.4052015680981,1.0639604744893656,-12696.59890559214,EhgEhMCA0,91.4052015680981,-125.90202858143203,AAAAAAABJiIAAAAAAAEjXg,4,3.1998542706992623,0.5792320446856566,1.4917500000000002e+30,465.2259719612076,K,dwarf,star/k2,350.1972419793291,Rocky,9.482480419921876,0.091405201568098,-0.125902028581432,-12.69659890559214,3.436040639080196,250.0272003153136,602.69407775943,365.467887593257,103.59398616250851,802.2639781264276,901.0363491349702,653.1150263319015,501.7018318069637,201.08223905621165,304.5363938334437,False,8,S40000-0008,S400,S4000,S40000-0008,75298,74590,K/dwarf,1.0
4611757486683735680,0.7387431301650079,-89.57805131837512,0.7209263086924734,18.180595,18.96745,17.362547,1.6049023,0.7868538,0.8180485,,303.03183949927995,-27.5407569173889,271.0608090695254,-66.5625759191767,4066.7476,0.505,1387.104323899173,10.214241025833692,0.1317046145094639,-1387.066709756219,EhQEhMEQ0,10.214241025833692,-13.738962483052726,AAAAAAABJRkAAAAAAAEkzA,4,7.470049770340827,0.9719041729037536,9.945000000000001e+29,25986.73712824777,K,dwarf,star/k2,233.46482798622725,Rocky,9.593325244140624,0.0102142410258336,-0.0137389624830527,-1.387066709756219,0.06729458076217,254.60999121794063,601.7388541099057,361.119203090662,100.99941937236648,804.1938114379903,902.783724800427,651.0175892593641,502.9483574318492,203.51154138743493,301.4022053349556,False,9,S40000-0009,S400,S4800,S40000-0009,75033,74956,K/dwarf,1.0
